Date,equity
2019-09-01,1000.0
2019-09-02,1004.5336460555352
2019-09-03,1000.0176017949614
2019-09-04,1010.030590995068
2019-09-05,1018.6730626585177
2019-09-06,1017.1319505632597
2019-09-07,1020.9504627361663
2019-09-08,1021.5498669460347
2019-09-09,1015.4123907677928
2019-09-10,1007.6651403181152
2019-09-11,1014.7504499564328
2019-09-12,1018.9745113748296
2019-09-13,1011.3184756389797
2019-09-14,1013.6907189731414
2019-09-15,1014.2031965745941
2019-09-16,1015.5881297703504
2019-09-17,1023.9373841022883
2019-09-18,1025.5629696437966
2019-09-19,1030.9675592694962
2019-09-20,1024.8702337024547
2019-09-21,1023.033725613784
2019-09-22,1021.9828774288553
2019-09-23,1017.1820885714222
2019-09-24,993.7166457083791
2019-09-25,997.5794226101167
2019-09-26,993.2420562427689
2019-09-27,988.2666439609206
2019-09-28,988.1909333986158
2019-09-29,986.1582671592148
2019-09-30,996.7238031968608
2019-10-01,988.9360956376229
2019-10-02,976.2404458553086
2019-10-03,984.4072739762053
2019-10-04,998.1322603515544
2019-10-05,997.6215175121631
2019-10-06,995.6848194507737
2019-10-07,994.2875200189192
2019-10-08,982.0485208194659
2019-10-09,994.4028536835095
2019-10-10,996.0227548449902
2019-10-11,998.8089129393185
2019-10-12,998.3914444538377
2019-10-13,998.6607605926381
2019-10-14,1002.0651128238604
2019-10-15,1006.1183518183911
2019-10-16,1002.0661119547194
2019-10-17,1004.6613975042383
2019-10-18,995.5804951784903
2019-10-19,995.4769084822776
2019-10-20,997.7920400374978
2019-10-21,1002.7936589271304
2019-10-22,996.8865951574246
2019-10-23,992.3619504581973
2019-10-24,998.0481305436543
2019-10-25,1016.1589035361769
2019-10-26,1019.5561743176124
2019-10-27,1022.877099683794
2019-10-28,1025.7409876983093
2019-10-29,1024.2848347495915
2019-10-30,1028.6144949279833
2019-10-31,1031.344270281467
2019-11-01,1039.4742451624907
2019-11-02,1039.884669228221
2019-11-03,1038.8541858055528
2019-11-04,1042.7599113173403
2019-11-05,1039.5164264868763
2019-11-06,1040.7766213225566
2019-11-07,1037.155918857993
2019-11-08,1034.9580996400323
2019-11-09,1035.268683177338
2019-11-10,1038.2302917896125
2019-11-11,1033.6102824961897
2019-11-12,1038.063602519964
2019-11-13,1040.0302842561762
2019-11-14,1041.7418099429242
2019-11-15,1044.6086298922382
2019-11-16,1045.8703184794324
2019-11-17,1046.5979260590861
2019-11-18,1045.4178684447384
2019-11-19,1046.6548088821166
2019-11-20,1042.4175113715614
2019-11-21,1031.4068878945416
2019-11-22,1027.1333078010844
2019-11-23,1028.7723947693667
2019-11-24,1023.2010390155004
2019-11-25,1034.9516791375017
2019-11-26,1040.269006542535
2019-11-27,1048.6414858315864
2019-11-28,1047.6612908171442
2019-11-29,1047.2530240184
2019-11-30,1044.8024887039423
2019-12-01,1043.1965869054843
2019-12-02,1028.592980162208
2019-12-03,1027.3229496340746
2019-12-04,1028.7648783862255
2019-12-05,1031.7455381774053
2019-12-06,1039.5430949282868
2019-12-07,1039.4708362847286
2019-12-08,1040.3843349799367
2019-12-09,1034.8553431731405
2019-12-10,1032.7343564660005
2019-12-11,1038.127265015847
2019-12-12,1042.424179109651
2019-12-13,1047.8912639071946
2019-12-14,1046.0423789311621
2019-12-15,1046.3436976097676
2019-12-16,1046.9085589592044
2019-12-17,1040.4291152466044
2019-12-18,1047.8625121612342
2019-12-19,1052.235149121402
2019-12-20,1056.7344335344324
2019-12-21,1056.1658293584735
2019-12-22,1060.243052846026
2019-12-23,1059.746370161856
2019-12-24,1061.656849703909
2019-12-25,1060.2992016812477
2019-12-26,1068.953325705381
2019-12-27,1069.1465709522397
2019-12-28,1069.78293027157
2019-12-29,1073.037726334125
2019-12-30,1064.2422298953666
2019-12-31,1062.2924267530445
2020-01-01,1062.7965505626507
2020-01-02,1077.6312315908308
2020-01-03,1079.1317107355544
2020-01-04,1079.9789048054752
2020-01-05,1080.4437792236458
2020-01-06,1091.1688877562954
2020-01-07,1091.7979593818006
2020-01-08,1094.7331101175623
2020-01-09,1100.5353567933294
2020-01-10,1104.5243603898011
2020-01-11,1103.1895375647655
2020-01-12,1105.4635844794564
2020-01-13,1113.1951762841031
2020-01-14,1124.500975486555
2020-01-15,1127.6029964750971
2020-01-16,1134.7047743172527
2020-01-17,1141.5238747146686
2020-01-18,1143.4304894610746
2020-01-19,1138.4225415588705
2020-01-20,1138.1330400606973
2020-01-21,1141.6337850524671
2020-01-22,1143.2351385254753
2020-01-23,1143.7911836729402
2020-01-24,1137.4256811783093
2020-01-25,1136.1720452072896
2020-01-26,1140.4937785893733
2020-01-27,1128.6816919459297
2020-01-28,1143.5744083425523
2020-01-29,1146.4486731037837
2020-01-30,1154.5171599420323
2020-01-31,1137.8737186945389
2020-02-01,1139.2937243613487
2020-02-02,1140.5935913885007
