date,hash-rate
2009-01-03,4.97102696296296e-08
2009-01-07,0.0
2009-01-11,5.26928858074074e-06
2009-01-15,6.31320424296296e-06
2009-01-19,5.91552208592593e-06
2009-01-23,3.33058806518518e-06
2009-01-27,5.12015777185185e-06
2009-01-31,6.41262478222222e-06
2009-02-04,6.11436316444444e-06
2009-02-08,6.66117613037037e-06
2009-02-12,5.8658118162963e-06
2009-02-16,6.11436316444444e-06
2009-02-20,6.36291451259259e-06
2009-02-24,5.51783992888889e-06
2009-02-28,5.07044750222222e-06
2009-03-04,5.26928858074074e-06
2009-03-08,5.56755019851852e-06
2009-03-12,5.8658118162963e-06
2009-03-16,6.46233505185185e-06
2009-03-20,5.8658118162963e-06
2009-03-24,5.21957831111111e-06
2009-03-28,5.91552208592593e-06
2009-04-01,5.31899885037037e-06
2009-04-05,6.41262478222222e-06
2009-04-09,4.92131669333333e-06
2009-04-13,5.71668100740741e-06
2009-04-17,5.71668100740741e-06
2009-04-21,6.11436316444444e-06
2009-04-25,6.06465289481481e-06
2009-04-29,6.11436316444444e-06
2009-05-03,5.66697073777778e-06
2009-05-07,6.01494262518519e-06
2009-05-11,5.91552208592593e-06
2009-05-15,7.10856855703704e-06
2009-05-19,4.97102696296296e-06
2009-05-23,3.47971887407407e-07
2009-05-27,6.2137837037037e-06
2009-05-31,5.8658118162963e-06
2009-06-04,1.93870051555556e-06
2009-06-08,3.57913941333333e-06
2009-06-12,4.5236345362963e-06
2009-06-16,3.62884968296296e-06
2009-06-20,4.17566264888889e-06
2009-06-24,4.22537291851852e-06
2009-06-28,2.53522375111111e-06
2009-07-02,3.57913941333333e-06
2009-07-06,4.5236345362963e-06
2009-07-10,4.07624210962963e-06
2009-07-14,3.57913941333333e-06
2009-07-18,1.49130808888889e-07
2009-07-22,3.43000860444444e-06
2009-07-26,6.46233505185185e-07
2009-07-30,6.95943774814815e-07
2009-08-03,7.45654044444445e-07
2009-08-07,3.67855995259259e-06
2009-08-11,3.33058806518518e-06
2009-08-15,1.69014916740741e-06
2009-08-19,7.45654044444445e-07
2009-08-23,5.96523235555555e-07
2009-08-27,1.49130808888889e-06
2009-08-31,4.67276534518518e-06
2009-09-04,3.13174698666667e-06
2009-09-08,3.28087779555556e-06
2009-09-12,3.5294291437037e-06
2009-09-16,2.88319563851852e-06
2009-09-20,3.92711130074074e-06
2009-09-24,4.07624210962963e-06
2009-09-28,4.37450372740741e-06
2009-10-02,3.72827022222222e-06
2009-10-06,2.03812105481482e-06
2009-10-10,3.82769076148148e-06
2009-10-14,2.78377509925926e-06
2009-10-18,3.1814572562963e-06
2009-10-22,4.27508318814815e-06
2009-10-26,3.23116752592593e-06
2009-10-30,3.03232644740741e-06
2009-11-03,2.83348536888889e-06
2009-11-07,3.77798049185185e-06
2009-11-11,3.43000860444444e-06
2009-11-15,4.77218588444444e-06
2009-11-19,3.62884968296296e-06
2009-11-23,4.77218588444444e-06
2009-11-27,3.72827022222222e-06
2009-12-01,3.28087779555556e-06
2009-12-05,2.58493402074074e-06
2009-12-09,4.67276534518518e-06
2009-12-13,5.16986804148148e-06
2009-12-17,8.00335341037037e-06
2009-12-21,9.29582042074074e-06
2009-12-25,7.80451233185185e-06
2009-12-29,8.15248421925926e-06
2010-01-02,7.6442931234091e-06
2010-01-06,9.29075625768183e-06
2010-01-10,1.12312306659318e-05
2010-01-14,1.02502484902837e-05
2010-01-18,8.4337487578284e-06
2010-01-22,9.73124856672508e-06
2010-01-26,1.34980007194616e-05
2010-01-30,1.20279214331836e-05
2010-02-03,1.62376939347979e-05
2010-02-07,1.87139403823172e-05
2010-02-11,1.60921806186109e-05
2010-02-15,2.32460914215077e-05
2010-02-19,2.24921641321615e-05
2010-02-23,3.15392916043158e-05
2010-02-27,3.25176751436248e-05
2010-03-03,2.78185891402109e-05
2010-03-07,3.25176751436248e-05
2010-03-11,3.28852291444466e-05
2010-03-15,2.79299206432286e-05
2010-03-19,2.99570923028178e-05
2010-03-23,4.65217732310883e-05
2010-03-27,3.9486773376631e-05
2010-03-31,4.69756441894404e-05
2010-04-04,5.02167758384825e-05
2010-04-08,5.89895860753258e-05
2010-04-12,8.43531550865232e-05
2010-04-16,7.85222918316944e-05
2010-04-20,7.96884644826601e-05
2010-04-24,8.37744517822657e-05
2010-04-28,9.9731490216983e-05
2010-05-02,9.68820190679263e-05
2010-05-06,9.64491901786208e-05
2010-05-10,8.75068811554374e-05
2010-05-14,7.66483630558576e-05
2010-05-18,0.000107307708278201
2010-05-22,0.000113064805519858
2010-05-26,0.000124842389428177
2010-05-30,0.000124746971748383
2010-06-03,0.000129703805062888
2010-06-07,0.000128877666177137
2010-06-11,0.000138791332806148
2010-06-15,0.00016935153872945
2010-06-19,0.000136518077139047
2010-06-23,0.000147750577156816
2010-06-27,0.000153374207557116
2010-07-01,0.00020064047277912
2010-07-05,0.000169772707736179
2010-07-09,0.000220799974472116
2010-07-13,0.00167856925065505
2010-07-17,0.00165149555306384
2010-07-21,0.00182296230447484
2010-07-25,0.00193125709483968
2010-07-29,0.0021244834042325
2010-08-02,0.00308353591242889
2010-08-06,0.00281847061359461
2010-08-10,0.0036237479317645
2010-08-14,0.00456907347918133
2010-08-18,0.00338357325016817
2010-08-22,0.00506263967506365
2010-08-26,0.00529160327845849
2010-08-30,0.00461732134494324
2010-09-03,0.00495819741738872
2010-09-07,0.0046792988126606
2010-09-11,0.00574090721074621
2010-09-15,0.00666228738037215
2010-09-19,0.00958137886113681
2010-09-23,0.00967263008838573
2010-09-27,0.0108588960426217
2010-10-01,0.0102260252243218
2010-10-05,0.00806282758071523
2010-10-09,0.0100293708930848
2010-10-13,0.0115768636273677
2010-10-17,0.0193176067628266
2010-10-21,0.0248910297496032
2010-10-25,0.0224339753108011
2010-10-29,0.0251046866573251
2010-11-02,0.0258201005069688
2010-11-06,0.0310455970381411
2010-11-10,0.0435221497768396
2010-11-14,0.0536698012792116
2010-11-18,0.059307385447196
2010-11-22,0.0546168613375639
2010-11-26,0.0692951428220342
2010-11-30,0.0843295455223728
2010-12-04,0.0879436689019031
2010-12-08,0.0927625000746101
2010-12-12,0.105974736816725
2010-12-16,0.11328333935581
2010-12-20,0.0968389836428695
2010-12-24,0.108001742450377
2010-12-28,0.121681963160758
2011-01-01,0.128162067707781
2011-01-05,0.121596943772684
2011-01-09,0.12321823635632
2011-01-13,0.149969563986311
2011-01-17,0.158561467414078
2011-01-21,0.163144168784427
2011-01-25,0.142980282754891
2011-01-29,0.164136211725285
2011-02-02,0.177267108663308
2011-02-06,0.191492247012833
2011-02-10,0.244256346380359
2011-02-14,0.240379261517179
2011-02-18,0.391485054897639
2011-02-22,0.384235331658794
2011-02-26,0.454920133237534
2011-03-02,0.467009518958862
2011-03-06,0.746109882360313
2011-03-10,0.450719122534764
2011-03-14,0.443144011231659
2011-03-18,0.522682679914265
2011-03-22,0.477232012095633
2011-03-26,0.483475502411536
2011-03-30,0.53490906649787
2011-04-03,0.572627013494514
2011-04-07,0.663134715812337
2011-04-11,0.630387322438889
2011-04-15,0.552612263176948
2011-04-19,0.647277934068425
2011-04-23,0.78040601979881
2011-04-27,0.872218492716317
2011-05-01,1.06853945167215
2011-05-05,1.24299487235332
2011-05-09,1.35748124217533
2011-05-13,1.57286756773456
2011-05-17,2.03455506274122
2011-05-21,2.58473318607827
2011-05-25,3.5433900954688
2011-05-29,3.73988894768231
2011-06-02,4.10739248589387
2011-06-06,7.04978032426183
2011-06-10,6.37300141313269
2011-06-14,6.34480229183565
2011-06-18,8.80591615374559
2011-06-22,11.7702839678778
2011-06-26,10.6268031804332
